Date,Qobs,Qmhm,Qmhm_mat,Melt_total
2/10/2010,162,149.1718668,122.8996379,2.214
2/11/2010,164,151.1910858,125.3779455,2.12
2/12/2010,162,155.3628225,130.0267172,2.606
2/13/2010,149,160.5004845,135.4323269,2.01
2/14/2010,155,162.8965564,138.0726131,1.468
2/15/2010,147,160.0257488,135.9060185,1.212
2/16/2010,144,150.0313435,125.7245141,0.898
2/17/2010,141,139.8495614,115.7954165,0.739
2/18/2010,134,130.7299004,107.0827364,0.624
2/19/2010,128,123.3554094,100.169441,1.586
2/20/2010,133,119.4389916,96.7236163,2.053
2/21/2010,138,118.8916285,96.483226,1.713
2/22/2010,137,117.8238776,95.7503222,0.66
2/23/2010,131,114.9375749,93.1041453,1.265
2/24/2010,131,113.2615231,91.8503718,1.607
2/25/2010,132,114.3610676,93.2030452,0.285
2/26/2010,123,113.3870185,92.3752662,0.312
2/27/2010,123,110.7029848,89.9704664,1.133
2/28/2010,135,110.9698208,90.5382636,0.875
3/1/2010,133,113.0157371,92.7619432,0.707
3/2/2010,128,112.5217307,92.3588604,0
3/3/2010,126,108.6993135,88.7031571,0.363
3/4/2010,124,104.588852,84.8935675,1.235
3/5/2010,125,103.4157713,79.5746189,2.521
3/6/2010,131,106.4365931,70.8602717,3.264
3/7/2010,135,111.5764893,63.7617959,2.499
3/8/2010,133,113.2459782,58.0169422,1.575
3/9/2010,129,111.6686817,53.8760728,2.519
3/10/2010,131,111.7792591,51.6838106,2.456
3/11/2010,130,111.8282777,49.8554585,1.812
3/12/2010,128,110.8108986,48.2453978,0.494
3/13/2010,122,106.745297,46.8240598,0.333
3/14/2010,119,100.6211842,45.5736412,0.648
3/15/2010,121,96.60726781,44.4804498,1.951
3/16/2010,120,95.96053089,43.518317,1.488
3/17/2010,119,95.11433114,42.655192,0.66
3/18/2010,115,92.39437936,41.8812221,0.947
3/19/2010,111,91.16528451,41.193166,1.608
3/20/2010,111,90.59901737,40.574192,0.941
3/21/2010,109,88.70230616,40.1468474,0
3/22/2010,105,84.42800867,39.8102989,0
3/23/2010,101,79.13319625,39.3003333,0.91
3/24/2010,104,77.47767207,38.8387829,1.541
3/25/2010,106,79.60404874,38.4218121,2.109
3/26/2010,106,82.73677762,38.0406699,2.094
3/27/2010,108,85.69691674,37.6879472,2.118
3/28/2010,106,88.30861659,37.3597715,2.067
3/29/2010,106,91.63703044,37.0583557,3.098
3/30/2010,109,96.21935564,36.7813463,3.027
3/31/2010,108,97.97317004,36.5117642,1.189
4/1/2010,101,94.27554032,36.242457,0.097
4/2/2010,93.9,88.11314871,35.9783148,0
4/3/2010,93.2,82.58703329,35.7263376,0.546
4/4/2010,92.9,79.37133912,35.4910801,1.048
4/5/2010,92,79.08529392,35.2730344,2.041
4/6/2010,94.2,79.64391145,35.0636976,1.116
4/7/2010,92.5,79.37845727,34.8573635,0.79
4/8/2010,91.7,79.42941388,34.6603207,1.58
4/9/2010,91.5,80.75071477,34.4700318,1.622
4/10/2010,89.4,81.0551,34.2823766,1.104
4/11/2010,89.3,79.97533694,34.0960477,0.992
4/12/2010,88.1,77.25665829,33.9091321,0.013
4/13/2010,85.5,73.18822312,33.7225882,0
4/14/2010,82.6,69.34464794,33.5432672,0.581
4/15/2010,85.3,67.15810313,33.3693825,0.476
4/16/2010,85.1,66.0991883,33.4966264,0
4/17/2010,79.9,64.55128037,33.7567955,0
4/18/2010,79.1,61.10703769,33.5232395,0
4/19/2010,78.7,59.28356548,33.3051367,0
4/20/2010,77,57.76348665,33.1109289,0
4/21/2010,76.7,56.4132493,32.9063223,0
4/22/2010,74.1,55.21360124,32.6929137,0
4/23/2010,67.3,54.15375571,32.4887852,0
4/24/2010,67.4,53.21806975,32.2959439,0
4/25/2010,66.4,52.38377708,32.1080352,0
4/26/2010,66.6,51.63470016,31.9245114,0
4/27/2010,66.7,50.96231489,31.7470506,0
4/28/2010,67,50.35585883,31.5749573,0
4/29/2010,65.4,49.92417011,31.4638025,0.716
4/30/2010,66.6,50.04741162,31.5492893,2.102
5/1/2010,66.1,50.68153597,31.6378251,0.925
5/2/2010,67.5,51.19587343,31.4525846,0
5/3/2010,66.9,51.25940879,31.2435372,0
5/4/2010,66.8,50.945634,31.0393566,0
5/5/2010,65.5,50.57472302,30.9080426,0
5/6/2010,69,49.97673679,30.8706958,0
5/7/2010,68.8,49.37338609,30.7546861,0.803
5/8/2010,66.7,48.76471844,30.5665026,1.244
5/9/2010,65.2,48.22544541,30.3918623,0
5/10/2010,67.2,47.74226444,30.2231526,0.098
5/11/2010,69,47.31182947,30.0729787,0.506
5/12/2010,67.6,46.91696627,29.9256806,0.119
5/13/2010,63.4,46.56011164,29.7901314,0
5/14/2010,63.6,46.35433954,29.7965659,0
5/15/2010,70.6,46.23267018,29.8633322,0
5/16/2010,65.8,45.9321896,29.7214881,0
5/17/2010,65.1,45.60169611,29.5240417,0
5/18/2010,63.8,45.31044538,29.3642914,2.433
5/19/2010,62.1,45.08511141,29.2604855,0
5/20/2010,54.7,44.90141309,29.1703403,0
